"vaccines_are_safe","age","party","education","books","trump_approval","climate_change"
"Somewhat Agree",40,"Republican","High school",0,"Somewhat Approve","Real but not Caused by People"
"Somewhat Agree",57,"Republican","High school",4,"Strongly Approve","Real and Caused by People"
"Strongly Agree",19,"Independent","Some college",5,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",54,"Democrat","Graduate degree",7,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",18,"Democrat","High school",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",65,"Independent","Graduate degree",40,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",89,"Democrat","Some college",5,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",70,"Independent","Some college",3,"Somewhat disapprove","Not Real At All"
"Strongly Agree",41,"Independent","Some college",0,"Strongly Approve","Real and Caused by People"
"Strongly Agree",65,"Democrat","High school",0,"Strongly disapprove","Real but not Caused by People"
"Somewhat Disagree",64,"Democrat","High school",0,"Somewhat Approve","Real and Caused by People"
"Somewhat Agree",38,"Independent","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",78,"Independent","Some college",3,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",26,"Independent","College degree",1,"Somewhat disapprove","Real but not Caused by People"
"Strongly Agree",59,"Republican","Some college",0,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",18,"Independent","High school",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",41,"Independent","College degree",4,"Somewhat Approve","Real but not Caused by People"
"Somewhat Agree",49,"Republican","Some college",10,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",30,"Democrat","Some college",10,"Strongly Approve","Real and Caused by People"
"Strongly Agree",52,"Independent","Graduate degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",66,"Republican","High school",10,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",44,"Independent","College degree",3,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",65,"Democrat","Some college",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",81,"Republican","Some college",5,"Strongly Approve","Not Real At All"
"Strongly Agree",59,"Republican","College degree",10,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",25,"Independent","College degree",20,"Somewhat Approve","Real but not Caused by People"
"Somewhat Agree",22,"Independent","College degree",10,"Somewhat Approve","Not Real At All"
"Strongly Agree",34,"Republican","College degree",10,"Strongly disapprove","Real and Caused by People"
"Neither Agree nor Disagree",74,"Republican","Some college",3,"Strongly Approve","Real and Caused by People"
"Strongly Agree",60,"Independent","Graduate degree",4,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",46,"Independent","High school",0,"Strongly Approve","Not Real At All"
